estado,municipio,zona_sismica_CFE,grado_peligro_inundacion_CENAPRED,grado_vulnerabilidad_social_CENAPRED,tiene_ARM,z_sis,z_inund,z_vuln,sin_arm,s_sis,s_inund,s_vuln,beneficio,costo
Jalisco,Ocotlán,B,Alto,Bajo,Sí,2,4,2,0,0.3333333333333333,0.75,0.25,0.4041666666666666,50000
Jalisco,Ojuelos de Jalisco,B,Bajo,Medio,No,2,2,3,1,0.3333333333333333,0.25,0.5,0.41666666666666663,80000
Jalisco,Pihuamo,C,Medio,Alto,No,3,3,4,1,0.6666666666666666,0.5,0.75,0.6708333333333333,80000
Jalisco,Poncitlán,C,Alto,Bajo,No,3,4,2,1,0.6666666666666666,0.75,0.25,0.6208333333333332,80000
Jalisco,Puerto Vallarta,D,Alto,Bajo,Sí,4,4,2,0,1.0,0.75,0.25,0.6375,70000
Jalisco,Villa Purificación,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Jalisco,Quitupan,C,Bajo,Alto,No,3,2,4,1,0.6666666666666666,0.25,0.75,0.5958333333333333,80000
Jalisco,El Salto,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Jalisco,San Cristóbal de la Barranca,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,San Diego de Alejandría,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,San Juan de los Lagos,B,Bajo,Bajo,Sí,2,2,2,0,0.3333333333333333,0.25,0.25,0.25416666666666665,50000
Jalisco,San Julián,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,San Marcos,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,San Martín de Bolaños,B,Bajo,Alto,No,2,2,4,1,0.3333333333333333,0.25,0.75,0.47916666666666663,80000
Jalisco,San Martín Hidalgo,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Jalisco,San Miguel el Alto,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,Gómez Farías,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,San Sebastián del Oeste,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Jalisco,Santa María del Oro,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,La Manzanilla de la Paz,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Sayula,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Jalisco,Tala,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Jalisco,Talpa de Allende,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Jalisco,Tamazula de Gordiano,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Jalisco,Tapalpa,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Jalisco,Tecalitlán,C,Medio,Alto,No,3,3,4,1,0.6666666666666666,0.5,0.75,0.6708333333333333,80000
Jalisco,Tecolotlán,D,Medio,Medio,No,4,3,3,1,1.0,0.5,0.5,0.725,100000
Jalisco,Techaluta de Montenegro,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Tenamaxtlán,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Teocaltiche,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
